week,team1,team2,Nick,Clyde,Chet,Henry,Riley,Bobby
2,DET,BUF,BUF,BUF,BUF,BUF,BUF,BUF
2,CAR,ATL,CAR,CAR,CAR,CAR,CAR,CAR
2,MIN,CHI,MIN,CHI,MIN,MIN,MIN,CHI
2,PHI,TEN,PHI,PHI,PHI,PHI,PHI,PHI
2,PIT,NE,NE,NE,NE,NE,NE,PIT
2,GB,NYJ,GB,GB,NYJ,GB,GB,GB
2,CLE,TB,TB,TB,TB,TB,TB,TB
2,NO,BAL,BAL,BAL,BAL,BAL,BAL,BAL
2,CIN,HOU,HOU,HOU,HOU,CIN,HOU,HOU
2,JAX,DEN,JAX,JAX,JAX,JAX,JAX,JAX
2,LV,LAC,LV,LAC,LV,LAC,LAC,LAC
2,WSH,DAL,WSH,DAL,WSH,DAL,DAL,DAL
2,SEA,ARI,ARI,SEA,ARI,SEA,SEA,SEA
2,MIA,SF,SF,SF,SF,SF,SF,SF
2,IND,KC,KC,KC,KC,KC,KC,KC
2,NYG,LAR,NYG,LAR,LAR,LAR,LAR,LAR
2,TIEBREAKER,,55,54,45,50,48,56
