team1,team2,Nick,Clyde,Chet,Henry,Riley,Bobby
DET,BUF,BUF,BUF,BUF,BUF,BUF,BUF
CAR,ATL,CAR,CAR,CAR,CAR,CAR,CAR
MIN,CHI,MIN,CHI,MIN,MIN,MIN,CHI
PHI,TEN,PHI,PHI,PHI,PHI,PHI,PHI
PIT,NE,NE,NE,NE,NE,NE,PIT
GB,NYJ,GB,GB,NYJ,GB,GB,GB
CLE,TB,TB,TB,TB,TB,TB,TB
NO,BAL,BAL,BAL,BAL,BAL,BAL,BAL
CIN,HOU,HOU,HOU,HOU,CIN,HOU,HOU
JAX,DEN,JAX,JAX,JAX,JAX,JAX,JAX
LV,LAC,LV,LAC,LV,LAC,LAC,LAC
WSH,DAL,WSH,DAL,WSH,DAL,DAL,DAL
SEA,ARI,ARI,SEA,ARI,SEA,SEA,SEA
MIA,SF,SF,SF,SF,SF,SF,SF
IND,KC,KC,KC,KC,KC,KC,KC
NYG,LAR,NYG,LAR,LAR,LAR,LAR,LAR
TIEBREAKER,,55,54,45,50,48,56
